name,artists,popularity,acousticness
Take on Me,['a-ha'],86,0.018
Dreams - 2004 Remaster,['Fleetwood Mac'],86,0.0644
Billie Jean,['Michael Jackson'],85,0.0236
Back In Black,['AC/DC'],85,0.011
Every Breath You Take,['The Police'],85,0.543
Everybody Wants To Rule The World,['Tears For Fears'],84,0.347
Livin' On A Prayer,['Bon Jovi'],84,0.0778
Highway to Hell,['AC/DC'],84,0.061
Hotel California - 2013 Remaster,['Eagles'],84,0.00574
Africa,['TOTO'],84,0.257
Another One Bites The Dust - Remastered 2011,['Queen'],83,0.112
Summer Of '69,['Bryan Adams'],83,0.0183
I Wanna Dance with Somebody (Who Loves Me),['Whitney Houston'],83,0.207
Sweet Dreams (Are Made of This) - Remastered,['Eurythmics' 'Annie Lennox' 'Dave Stewart'],83,0.225
Here Comes The Sun - Remastered 2009,['The Beatles'],83,0.0339
Sweet Home Alabama,['Lynyrd Skynyrd'],83,0.181
Fortunate Son,['Creedence Clearwater Revival'],83,0.201
Bohemian Rhapsody - Remastered 2011,['Queen'],83,0.271
I'm Still Standing,['Elton John'],83,0.356
Don't Stop Believin',['Journey'],82,0.127
Ain't No Mountain High Enough,['Marvin Gaye' 'Tammi Terrell'],82,0.43
Sweet Child O' Mine,"[""Guns N' Roses""]",82,0.0866
Just the Two of Us (feat. Bill Withers),['Grover Washington Jr.' 'Bill Withers'],82,0.572
Don't Stop Me Now - Remastered 2011,['Queen'],82,0.0475
Rocket Man (I Think It's Going To Be A Long Long Time),['Elton John'],82,0.432
The Chain - 2004 Remaster,['Fleetwood Mac'],82,0.009
Mr. Blue Sky,['Electric Light Orchestra'],82,0.652
You Give Love A Bad Name,['Bon Jovi'],81,0.0663
Dancing Queen,['ABBA'],81,0.358
Sultans Of Swing,['Dire Straits'],81,0.0614
September,['Earth Wind & Fire'],81,0.168
You Shook Me All Night Long,['AC/DC'],81,0.00287
Under Pressure - Remastered 2011,['Queen' 'David Bowie'],81,0.429
Jump - 2015 Remaster,['Van Halen'],80,0.171
Wake Me Up Before You Go-Go,['Wham!'],80,0.271
We Will Rock You - Remastered,['Queen'],80,0.676
More Than a Feeling,['Boston'],80,0.000894
With Or Without You - Remastered,['U2'],80,0.000202
I Still Haven't Found What I'm Looking For,['U2'],80,0.0135
Brown Eyed Girl,['Van Morrison'],80,0.182
Tiny Dancer,['Elton John'],80,0.382
Should I Stay or Should I Go - Remastered,['The Clash'],80,0.0804
My Girl,['The Temptations'],80,0.635
Beat It,['Michael Jackson'],80,0.0491
Three Little Birds,['Bob Marley & The Wailers'],80,0.0111
Your Song,['Elton John'],80,0.828
I Was Made For Lovin' You,['KISS'],80,0.214
Walking On Sunshine,['Katrina & The Waves'],79,0.0116
I Want to Know What Love Is - 1999 Remaster,['Foreigner'],79,0.193
Landslide,['Fleetwood Mac'],79,0.883
Paint It Black,['The Rolling Stones'],79,0.0493
Paradise City,"[""Guns N' Roses""]",79,0.0169
Uptown Girl,['Billy Joel'],79,0.0747
California Dreamin' - Single Version,['The Mamas & The Papas'],79,0.352
Ahora Te Puedes Marchar,['Luis Miguel'],79,0.148
You Make My Dreams (Come True),['Daryl Hall & John Oates'],79,0.234
Free Fallin',['Tom Petty'],79,0.212
Ain't No Sunshine,['Bill Withers'],79,0.457
Imagine - Remastered 2010,['John Lennon'],79,0.907
Stairway to Heaven - Remaster,['Led Zeppelin'],79,0.58
Take It Easy - 2013 Remaster,['Eagles'],79,0.343
Everywhere - 2017 Remaster,['Fleetwood Mac'],79,0.258
Can't Help Falling in Love,['Elvis Presley'],79,0.941
Let It Be - Remastered 2009,['The Beatles'],79,0.631
Signed Sealed Delivered (I'm Yours),['Stevie Wonder'],79,0.0534
Gimme! Gimme! Gimme! (A Man After Midnight),['ABBA'],79,0.02
Have You Ever Seen The Rain,['Creedence Clearwater Revival'],79,0.0664
Stand by Me,['Ben E. King'],79,0.57
Fast Car,['Tracy Chapman'],79,0.313
Bad Moon Rising,['Creedence Clearwater Revival'],79,0.0586
Sweet Caroline,['Neil Diamond'],79,0.611
Come Together - Remastered 2009,['The Beatles'],79,0.0302
Dream On,['Aerosmith'],79,0.388
T.N.T.,['AC/DC'],79,0.153
All Along the Watchtower,['Jimi Hendrix'],79,0.00255
Girls Just Want to Have Fun,['Cyndi Lauper'],79,0.22
Could You Be Loved,['Bob Marley & The Wailers'],78,0.36
(I Can't Get No) Satisfaction - Mono Version,['The Rolling Stones'],78,0.0383
9 to 5,['Dolly Parton'],78,0.416
Smooth Criminal - 2012 Remaster,['Michael Jackson'],78,0.247
Welcome To The Jungle,"[""Guns N' Roses""]",78,0.0235
Dust in the Wind,['Kansas'],78,0.367
In The Air Tonight - 2015 Remastered,['Phil Collins'],78,0.551
Whole Lotta Love - 1990 Remaster,['Led Zeppelin'],78,0.0484
Where Is My Mind? - Remastered,['Pixies'],78,0.0204
Paranoid,['Black Sabbath'],78,7.85E-05
Hold the Line,['TOTO'],78,0.00783
Start Me Up - Remastered,['The Rolling Stones'],78,0.0436
Immigrant Song - Remaster,['Led Zeppelin'],78,0.013
The Final Countdown,['Europe'],78,0.0628
A Horse with No Name,['America' 'George Martin'],78,0.686
Baba O'Riley,['The Who'],78,0.313
You Can't Hurry Love - 2016 Remaster,['Phil Collins'],78,0.0261
The Boys Of Summer,['Don Henley'],78,0.501
Dancing In the Dark,['Bruce Springsteen'],78,0.0115
Walk Of Life,['Dire Straits'],78,0.405
We Built This City,['Starship'],78,0.052
Don't Go Breaking My Heart,['Elton John' 'Kiki Dee'],78,0.149
Come and Get Your Love - Single Version,['Redbone'],78,0.172
Another Brick in the Wall Pt. 2,['Pink Floyd'],77,0.0781
You Can Call Me Al,['Paul Simon'],77,0.182
La Incondicional,['Luis Miguel'],77,0.237
Roxanne,['The Police'],77,0.0384
Johnny B. Goode,['Chuck Berry'],77,0.741
Go Your Own Way - 2004 Remaster,['Fleetwood Mac'],77,0.0185
Easy,['Commodores'],77,0.112
Lovely Day,['Bill Withers'],77,0.292
Wonderful Tonight,['Eric Clapton'],77,0.649
For What It's Worth,['Buffalo Springfield'],77,0.406
Come On Eileen,['Dexys Midnight Runners'],77,0.664
Nothing's Gonna Stop Us Now,['Starship'],77,0.0299
My Sweet Lord - Remastered 2014,['George Harrison'],77,0.0972
La Grange - 2005 Remaster,['ZZ Top'],77,0.00249
I Say a Little Prayer,['Aretha Franklin'],77,0.478
"Mrs. Robinson - From ""The Graduate"" Soundtrack",['Simon & Garfunkel'],77,0.713
Yesterday - Remastered 2009,['The Beatles'],77,0.879
Piano Man,['Billy Joel'],77,0.605
The Joker,['Steve Miller Band'],77,0.365
I Want You Back,['The Jackson 5'],77,0.305
"Rasputin - 7"" Version",['Boney M.'],77,0.47
Heaven,['Bryan Adams'],77,0.0465
At Last,['Etta James'],77,0.547
Eye of the Tiger,['Survivor'],77,0.132
Kickstart My Heart,['Mötley Crüe'],77,0.00125
Right Here Waiting,['Richard Marx'],77,0.8
Wish You Were Here,['Pink Floyd'],77,0.735
Wild World,['Yusuf / Cat Stevens'],77,0.345
Listen to the Music,['The Doobie Brothers'],77,0.221
(Don't Fear) The Reaper,['Blue Öyster Cult'],77,0.0029
You're so Vain,['Carly Simon'],77,0.157
Hooked on a Feeling,['Blue Swede' 'Björn Skifs'],77,0.261
Walk This Way,['Aerosmith'],77,0.0114
Message In A Bottle,['The Police'],76,0.0338
Don't Stop 'Til You Get Enough,['Michael Jackson'],76,0.126
Spirit In The Sky,['Norman Greenbaum'],76,0.0994
Gimme Shelter,['The Rolling Stones'],76,0.447
We Didn't Start the Fire,['Billy Joel'],76,0.0771
Let's Stay Together,['Al Green'],76,0.57
Is This Love,['Bob Marley & The Wailers'],76,0.11
You're The One That I Want - From “Grease”,['John Travolta' 'Olivia Newton-John'],76,0.281
Walk On the Wild Side,['Lou Reed'],76,0.683
How Deep Is Your Love,['Bee Gees'],76,0.105
(Sittin' On) the Dock of the Bay,['Otis Redding'],76,0.684
American Pie,['Don McLean'],76,0.699
Brandy (You're a Fine Girl),['Looking Glass'],76,0.396
I'm On Fire,['Bruce Springsteen'],76,0.589
Build Me Up Buttercup - Mono,['The Foundations'],76,0.315
The Lady In Red,['Chris de Burgh'],76,0.332
The Boys Are Back In Town,['Thin Lizzy'],76,0.234
If You Leave Me Now,['Chicago'],76,0.0193
Crazy Little Thing Called Love - Remastered 2011,['Queen'],76,0.713
Another One Bites The Dust - Remastered 2011,['Queen'],76,0.112
Jack & Diane,['John Mellencamp'],76,0.0365
You Can't Hurry Love,['The Supremes'],76,0.299
Mamma Mia,['ABBA'],76,0.295
December 1963 (Oh What a Night!),['Frankie Valli & The Four Seasons'],76,0.0588
Rock And Roll All Nite,['KISS'],76,0.0468
Sweet Emotion,['Aerosmith'],76,0.00298
Tainted Love,['Soft Cell'],76,0.462
Rebel Rebel - 2016 Remaster,['David Bowie'],76,0.209
Devuélveme a mi chica,['Hombres G'],76,0.0031
Don't You (Forget About Me),['Simple Minds'],76,0.168
I Want To Break Free - Single Remix,['Queen'],76,0.0841
Radio Ga Ga - Remastered 2011,['Queen'],76,0.183
Born in the U.S.A.,['Bruce Springsteen'],76,0.000373
Give A Little Bit,['Supertramp'],76,0.0694
Heroes - 2017 Remaster,['David Bowie'],76,0.000671
We Are The Champions - Remastered 2011,['Queen'],76,0.378
Purple Rain,['Prince'],76,0.0353
Bohemian Rhapsody - Remastered 2011,['Queen'],76,0.288
Carry on Wayward Son,['Kansas'],76,0.00321
Break My Stride,['Matthew Wilder'],76,0.195
Maniac,['Michael Sembello'],76,0.0891
Wanted Dead Or Alive,['Bon Jovi'],75,0.13
Boys Don't Cry,['The Cure'],75,0.00517
We're Not Gonna Take It,['Twisted Sister'],75,0.0127
Boogie Wonderland,['Earth Wind & Fire' 'The Emotions'],75,0.0843
Bennie And The Jets - Remastered 2014,['Elton John'],75,0.259
Angie,['The Rolling Stones'],75,0.67
Rock with You - Single Version,['Michael Jackson'],75,0.179
Escape (The Pina Colada Song),['Rupert Holmes'],75,0.467
Blackbird - Remastered 2009,['The Beatles'],75,0.754
Layla,['Derek & The Dominos'],75,0.577
Cecilia,['Simon & Garfunkel'],75,0.357
House of the Rising Sun,['The Animals'],75,0.000334
Father And Son,['Yusuf / Cat Stevens'],75,0.541
Twist And Shout - Remastered 2009,['The Beatles'],75,0.641
Can't Fight This Feeling,['REO Speedwagon'],75,0.155
Pour Some Sugar On Me - Remastered 2017,['Def Leppard'],75,0.00211
Alone,['Heart'],75,0.638
Sweet Child O' Mine,"[""Guns N' Roses""]",75,0.0901
Go Your Own Way - 2004 Remaster,['Fleetwood Mac'],75,0.0167
Another Day in Paradise - 2016 Remaster,['Phil Collins'],75,0.736
This Charming Man - 2011 Remaster,['The Smiths'],75,0.00509
Let's Groove,['Earth Wind & Fire'],75,0.121
I'm a Believer - 2006 Remaster,['The Monkees'],75,0.707
Jamming,['Bob Marley & The Wailers'],75,0.102
Barracuda,['Heart'],75,0.015
Smoke On The Water - Remastered 2012,['Deep Purple'],75,0.13
Don't You Want Me,['The Human League'],75,0.184
